facility,year,score1,score2,score3,score4,score5
0,2010,3,17,55,282,105
402,2010,0,0,3,9,6
405,2010,0,1,3,11,4
436,2010,0,1,2,9,6
437,2010,0,1,2,9,6
438,2010,0,0,2,9,7
442,2010,0,0,2,9,7
459,2010,0,0,2,7,2
460,2010,0,2,1,7,8
463,2010,0,0,1,6,4
501,2010,0,1,4,11,5
502,2010,0,0,4,7,6
503,2010,0,0,2,6,9
504,2010,0,0,3,8,8
506,2010,0,1,4,8,7
508,2010,0,0,2,16,3
509,2010,1,0,4,12,4
512,2010,1,2,2,12,4
515,2010,0,1,1,8,6
516,2010,0,1,3,11,6
517,2010,0,1,1,11,4
518,2010,0,0,1,4,6
519,2010,0,0,4,2,7
520,2010,0,0,2,9,8
521,2010,0,1,2,13,5
526,2010,0,0,3,12,5
528,2010,0,1,3,15,2
529,2010,0,1,1,5,4
531,2010,0,0,3,11,5
534,2010,0,1,4,8,8
537,2010,1,1,3,10,5
538,2010,0,1,2,10,4
539,2010,0,2,0,11,7
540,2010,0,0,2,13,4
541,2010,0,1,2,12,6
542,2010,0,0,1,6,7
544,2010,1,0,1,9,9
546,2010,1,2,3,11,4
548,2010,0,1,1,9,9
549,2010,0,1,2,14,4
550,2010,0,0,1,9,7
552,2010,0,1,4,10,4
553,2010,0,1,4,9,6
554,2010,0,1,2,12,5
556,2010,0,0,1,10,7
557,2010,0,0,2,9,6
558,2010,0,1,6,9,5
561,2010,1,1,1,10,5
562,2010,0,2,1,6,7
564,2010,0,2,3,7,6
565,2010,0,0,2,8,7
568,2010,0,1,0,7,10
570,2010,2,1,1,12,4
573,2010,1,0,3,12,5
575,2010,0,0,1,7,8
578,2010,1,1,0,13,6
580,2010,0,2,3,9,7
581,2010,1,0,2,9,8
583,2010,0,2,3,8,8
585,2010,0,0,2,9,6
586,2010,1,1,5,6,7
589,2010,0,0,3,13,4
590,2010,0,1,2,8,9
593,2010,0,1,0,11,6
595,2010,0,1,1,12,4
596,2010,0,0,3,13,5
598,2010,1,0,5,10,5
600,2010,1,0,2,12,6
603,2010,0,1,4,12,4
605,2010,1,2,5,7,6
607,2010,0,1,1,11,7
608,2010,0,0,1,7,3
612,2010,0,0,0,0,0
613,2010,0,1,2,11,6
614,2010,1,1,3,9,7
618,2010,0,1,4,10,6
619,2010,0,0,1,12,4
620,2010,0,1,2,7,5
621,2010,0,1,2,9,8
623,2010,0,0,5,9,5
626,2010,0,1,4,9,7
629,2010,0,0,1,8,2
630,2010,1,0,1,11,6
631,2010,0,0,2,7,2
632,2010,1,0,0,13,6
635,2010,0,4,1,11,5
636,2010,2,0,2,8,8
637,2010,2,0,3,11,4
640,2010,0,1,5,11,4
642,2010,1,2,2,11,4
644,2010,0,0,6,10,5
646,2010,1,1,3,10,6
648,2010,1,0,5,10,5
649,2010,0,2,3,8,4
650,2010,2,0,3,7,7
652,2010,0,0,4,13,4
653,2010,0,1,2,10,4
654,2010,0,1,2,9,9
655,2010,0,0,1,7,8
656,2010,0,0,1,6,4
657,2010,0,2,2,13,4
658,2010,0,0,7,9,3
659,2010,0,0,1,10,7
660,2010,0,0,4,10,7
662,2010,0,3,1,11,6
663,2010,0,4,4,8,5
664,2010,0,2,4,7,8
666,2010,1,0,3,5,6
667,2010,2,0,3,11,3
668,2010,0,0,4,7,7
671,2010,0,0,3,13,5
672,2010,2,1,1,11,6
673,2010,1,0,4,11,5
674,2010,0,1,3,14,3
675,2010,0,1,2,5,3
676,2010,0,0,2,7,7
678,2010,0,3,4,11,3
679,2010,0,1,1,6,3
687,2010,0,1,0,8,2
688,2010,0,1,3,13,4
689,2010,0,0,3,10,8
691,2010,0,3,1,12,5
692,2010,0,0,4,4,3
693,2010,0,0,3,8,8
695,2010,0,1,2,13,5
0,2011,3,17,55,282,105
402,2011,0,0,3,9,6
405,2011,0,1,3,11,4
436,2011,0,1,2,9,6
437,2011,0,1,2,9,6
438,2011,0,0,2,9,7
442,2011,0,0,2,9,7
459,2011,0,0,2,7,2
460,2011,0,2,1,7,8
463,2011,0,0,1,6,4
501,2011,0,1,4,11,5
502,2011,0,0,4,7,6
503,2011,0,0,2,6,9
504,2011,0,0,3,8,8
506,2011,0,1,4,8,7
508,2011,0,0,2,16,3
509,2011,1,0,4,12,4
512,2011,1,2,2,12,4
515,2011,0,1,1,8,6
516,2011,0,1,3,11,6
517,2011,0,1,1,11,4
518,2011,0,0,1,4,6
519,2011,0,0,4,2,7
520,2011,0,0,2,9,8
521,2011,0,1,2,13,5
526,2011,0,0,3,12,5
528,2011,0,1,3,15,2
529,2011,0,1,1,5,4
531,2011,0,0,3,11,5
534,2011,0,1,4,8,8
537,2011,1,1,3,10,5
538,2011,0,1,2,10,4
539,2011,0,2,0,11,7
540,2011,0,0,2,13,4
541,2011,0,1,2,12,6
542,2011,0,0,1,6,7
544,2011,1,0,1,9,9
546,2011,1,2,3,11,4
548,2011,0,1,1,9,9
549,2011,0,1,2,14,4
550,2011,0,0,1,9,7
552,2011,0,1,4,10,4
553,2011,0,1,4,9,6
554,2011,0,1,2,12,5
556,2011,0,0,1,10,7
557,2011,0,0,2,9,6
558,2011,0,1,6,9,5
561,2011,1,1,1,10,5
562,2011,0,2,1,6,7
564,2011,0,2,3,7,6
565,2011,0,0,2,8,7
568,2011,0,1,0,7,10
570,2011,2,1,1,12,4
573,2011,1,0,3,12,5
575,2011,0,0,1,7,8
578,2011,1,1,0,13,6
580,2011,0,2,3,9,7
581,2011,1,0,2,9,8
583,2011,0,2,3,8,8
585,2011,0,0,2,9,6
586,2011,1,1,5,6,7
589,2011,0,0,3,13,4
590,2011,0,1,2,8,9
593,2011,0,1,0,11,6
595,2011,0,1,1,12,4
596,2011,0,0,3,13,5
598,2011,1,0,5,10,5
600,2011,1,0,2,12,6
603,2011,0,1,4,12,4
605,2011,1,2,5,7,6
607,2011,0,1,1,11,7
608,2011,0,0,1,7,3
612,2011,0,0,0,0,0
613,2011,0,1,2,11,6
614,2011,1,1,3,9,7
618,2011,0,1,4,10,6
619,2011,0,0,1,12,4
620,2011,0,1,2,7,5
621,2011,0,1,2,9,8
623,2011,0,0,5,9,5
626,2011,0,1,4,9,7
629,2011,0,0,1,8,2
630,2011,1,0,1,11,6
631,2011,0,0,2,7,2
632,2011,1,0,0,13,6
635,2011,0,4,1,11,5
636,2011,2,0,2,8,8
637,2011,2,0,3,11,4
640,2011,0,1,5,11,4
642,2011,1,2,2,11,4
644,2011,0,0,6,10,5
646,2011,1,1,3,10,6
648,2011,1,0,5,10,5
649,2011,0,2,3,8,4
650,2011,2,0,3,7,7
652,2011,0,0,4,13,4
653,2011,0,1,2,10,4
654,2011,0,1,2,9,9
655,2011,0,0,1,7,8
656,2011,0,0,1,6,4
657,2011,0,2,2,13,4
658,2011,0,0,7,9,3
659,2011,0,0,1,10,7
660,2011,0,0,4,10,7
662,2011,0,3,1,11,6
663,2011,0,4,4,8,5
664,2011,0,2,4,7,8
666,2011,1,0,3,5,6
667,2011,2,0,3,11,3
668,2011,0,0,4,7,7
671,2011,0,0,3,13,5
672,2011,2,1,1,11,6
673,2011,1,0,4,11,5
674,2011,0,1,3,14,3
675,2011,0,1,2,5,3
676,2011,0,0,2,7,7
678,2011,0,3,4,11,3
679,2011,0,1,1,6,3
687,2011,0,1,0,8,2
688,2011,0,1,3,13,4
689,2011,0,0,3,10,8
691,2011,0,3,1,12,5
692,2011,0,0,4,4,3
693,2011,0,0,3,8,8
695,2011,0,1,2,13,5
0,2012,6,19,49,303,127
402,2012,0,0,1,12,7
405,2012,0,1,2,11,6
436,2012,0,0,2,12,6
437,2012,0,0,2,9,9
438,2012,0,0,2,11,7
442,2012,0,0,1,11,8
459,2012,0,0,5,5,2
460,2012,0,0,3,8,9
463,2012,0,0,1,6,5
501,2012,0,0,3,14,6
502,2012,0,1,1,11,6
503,2012,0,1,2,6,10
504,2012,0,0,3,11,7
506,2012,0,1,2,13,7
508,2012,0,0,2,16,5
509,2012,1,2,2,13,5
512,2012,0,2,3,12,6
515,2012,0,1,3,7,7
516,2012,0,2,2,13,6
517,2012,1,0,2,5,11
518,2012,0,0,1,6,5
519,2012,0,1,2,8,6
520,2012,0,0,2,10,10
521,2012,0,2,1,12,8
526,2012,1,0,2,14,6
528,2012,2,1,2,14,4
529,2012,0,1,1,7,3
531,2012,0,1,5,8,7
534,2012,0,2,2,7,12
537,2012,1,1,3,11,7
538,2012,1,0,1,10,7
539,2012,2,0,2,13,6
540,2012,0,0,2,12,7
541,2012,1,0,1,13,8
542,2012,0,0,1,9,5
544,2012,0,1,2,8,11
546,2012,1,2,4,8,8
548,2012,0,1,2,12,8
549,2012,1,0,3,12,7
550,2012,0,0,1,10,8
552,2012,0,0,2,14,5
553,2012,0,0,6,9,8
554,2012,0,0,3,11,8
556,2012,0,0,2,8,10
557,2012,0,0,4,9,6
558,2012,0,1,7,9,6
561,2012,1,1,0,12,6
562,2012,0,2,1,11,6
564,2012,0,0,5,9,7
565,2012,0,0,5,8,6
568,2012,0,1,1,10,7
570,2012,1,1,3,9,7
573,2012,1,0,1,14,7
575,2012,0,0,1,7,10
578,2012,1,1,0,12,9
580,2012,0,1,5,10,7
581,2012,1,0,6,7,8
583,2012,0,3,2,11,7
585,2012,0,0,2,9,8
586,2012,1,0,7,8,7
589,2012,0,1,2,13,7
590,2012,0,0,2,8,12
593,2012,0,1,3,9,7
595,2012,1,0,1,14,5
596,2012,0,2,5,10,6
598,2012,1,0,4,12,6
600,2012,1,0,1,12,9
603,2012,1,2,1,12,7
605,2012,3,1,6,7,6
607,2012,2,0,2,8,11
608,2012,0,0,2,6,4
612,2012,0,0,0,0,0
613,2012,0,1,1,13,6
614,2012,0,1,2,13,7
618,2012,0,1,3,11,8
619,2012,0,0,3,9,8
620,2012,0,1,1,9,7
621,2012,1,1,4,7,10
623,2012,0,0,3,12,6
626,2012,1,0,6,11,5
629,2012,0,0,1,8,3
630,2012,1,1,1,12,8
631,2012,0,0,1,9,2
632,2012,2,0,2,13,5
635,2012,3,2,0,12,6
636,2012,2,0,2,10,9
637,2012,1,0,3,12,7
640,2012,0,1,3,14,5
642,2012,0,2,4,11,6
644,2012,0,0,5,11,7
646,2012,2,0,2,10,9
648,2012,0,0,4,10,9
649,2012,0,0,5,8,6
650,2012,1,1,3,12,4
652,2012,1,1,3,12,6
653,2012,0,1,3,10,5
654,2012,1,2,0,11,8
655,2012,0,0,1,7,9
656,2012,0,0,1,5,6
657,2012,0,0,4,11,8
658,2012,0,0,5,14,4
659,2012,0,0,1,13,6
660,2012,0,1,1,13,8
662,2012,0,1,2,14,6
663,2012,1,1,6,11,4
664,2012,0,1,3,10,9
666,2012,0,0,3,6,8
667,2012,2,0,6,11,4
668,2012,0,0,2,10,7
671,2012,0,1,4,11,7
672,2012,2,0,4,13,4
673,2012,1,1,3,14,4
674,2012,1,0,1,14,7
675,2012,0,0,2,7,3
676,2012,0,1,2,8,7
678,2012,1,2,3,8,9
679,2012,0,0,1,8,3
687,2012,0,0,3,6,3
688,2012,1,1,3,11,7
689,2012,0,1,3,10,9
691,2012,1,3,1,12,6
692,2012,0,0,4,6,2
693,2012,0,0,4,11,6
695,2012,0,1,3,15,4
0,2013,3,17,55,282,105
402,2013,0,0,3,9,6
405,2013,0,1,3,11,4
436,2013,0,1,2,9,6
437,2013,0,1,2,9,6
438,2013,0,0,2,9,7
442,2013,0,0,2,9,7
459,2013,0,0,2,7,2
460,2013,0,2,1,7,8
463,2013,0,0,1,6,4
501,2013,0,1,4,11,5
502,2013,0,0,4,7,6
503,2013,0,0,2,6,9
504,2013,0,0,3,8,8
506,2013,0,1,4,8,7
508,2013,0,0,2,16,3
509,2013,1,0,4,12,4
512,2013,1,2,2,12,4
515,2013,0,1,1,8,6
516,2013,0,1,3,11,6
517,2013,0,1,1,11,4
518,2013,0,0,1,4,6
519,2013,0,0,4,2,7
520,2013,0,0,2,9,8
521,2013,0,1,2,13,5
526,2013,0,0,3,12,5
528,2013,0,1,3,15,2
529,2013,0,1,1,5,4
531,2013,0,0,3,11,5
534,2013,0,1,4,8,8
537,2013,1,1,3,10,5
538,2013,0,1,2,10,4
539,2013,0,2,0,11,7
540,2013,0,0,2,13,4
541,2013,0,1,2,12,6
542,2013,0,0,1,6,7
544,2013,1,0,1,9,9
546,2013,1,2,3,11,4
548,2013,0,1,1,9,9
549,2013,0,1,2,14,4
550,2013,0,0,1,9,7
552,2013,0,1,4,10,4
553,2013,0,1,4,9,6
554,2013,0,1,2,12,5
556,2013,0,0,1,10,7
557,2013,0,0,2,9,6
558,2013,0,1,6,9,5
561,2013,1,1,1,10,5
562,2013,0,2,1,6,7
564,2013,0,2,3,7,6
565,2013,0,0,2,8,7
568,2013,0,1,0,7,10
570,2013,2,1,1,12,4
573,2013,1,0,3,12,5
575,2013,0,0,1,7,8
578,2013,1,1,0,13,6
580,2013,0,2,3,9,7
581,2013,1,0,2,9,8
583,2013,0,2,3,8,8
585,2013,0,0,2,9,6
586,2013,1,1,5,6,7
589,2013,0,0,3,13,4
590,2013,0,1,2,8,9
593,2013,0,1,0,11,6
595,2013,0,1,1,12,4
596,2013,0,0,3,13,5
598,2013,1,0,5,10,5
600,2013,1,0,2,12,6
603,2013,0,1,4,12,4
605,2013,1,2,5,7,6
607,2013,0,1,1,11,7
608,2013,0,0,1,7,3
612,2013,0,0,0,0,0
613,2013,0,1,2,11,6
614,2013,1,1,3,9,7
618,2013,0,1,4,10,6
619,2013,0,0,1,12,4
620,2013,0,1,2,7,5
621,2013,0,1,2,9,8
623,2013,0,0,5,9,5
626,2013,0,1,4,9,7
629,2013,0,0,1,8,2
630,2013,1,0,1,11,6
631,2013,0,0,2,7,2
632,2013,1,0,0,13,6
635,2013,0,4,1,11,5
636,2013,2,0,2,8,8
637,2013,2,0,3,11,4
640,2013,0,1,5,11,4
642,2013,1,2,2,11,4
644,2013,0,0,6,10,5
646,2013,1,1,3,10,6
648,2013,1,0,5,10,5
649,2013,0,2,3,8,4
650,2013,2,0,3,7,7
652,2013,0,0,4,13,4
653,2013,0,1,2,10,4
654,2013,0,1,2,9,9
655,2013,0,0,1,7,8
656,2013,0,0,1,6,4
657,2013,0,2,2,13,4
658,2013,0,0,7,9,3
659,2013,0,0,1,10,7
660,2013,0,0,4,10,7
662,2013,0,3,1,11,6
663,2013,0,4,4,8,5
664,2013,0,2,4,7,8
666,2013,1,0,3,5,6
667,2013,2,0,3,11,3
668,2013,0,0,4,7,7
671,2013,0,0,3,13,5
672,2013,2,1,1,11,6
673,2013,1,0,4,11,5
674,2013,0,1,3,14,3
675,2013,0,1,2,5,3
676,2013,0,0,2,7,7
678,2013,0,3,4,11,3
679,2013,0,1,1,6,3
687,2013,0,1,0,8,2
688,2013,0,1,3,13,4
689,2013,0,0,3,10,8
691,2013,0,3,1,12,5
692,2013,0,0,4,4,3
693,2013,0,0,3,8,8
695,2013,0,1,2,13,5
0,2014,5,16,92,314,108
402,2014,0,1,6,8,6
405,2014,1,1,2,14,4
436,2014,0,2,3,9,8
437,2014,0,1,1,11,8
438,2014,0,0,4,9,9
442,2014,0,0,6,9,7
459,2014,0,0,9,3,2
460,2014,0,3,3,6,9
463,2014,0,0,3,7,4
501,2014,0,2,7,12,4
502,2014,0,0,5,9,7
503,2014,0,1,1,6,12
504,2014,0,0,3,10,10
506,2014,0,3,6,7,7
508,2014,0,0,4,14,7
509,2014,0,1,3,13,8
512,2014,1,1,2,14,7
515,2014,0,1,2,9,7
516,2014,1,1,3,13,7
517,2014,1,1,2,9,8
518,2014,0,0,3,8,3
519,2014,0,0,4,4,8
520,2014,0,0,3,12,7
521,2014,0,0,6,14,5
526,2014,0,2,4,12,4
528,2014,1,0,3,14,7
529,2014,0,0,2,7,5
531,2014,0,0,2,15,6
534,2014,0,0,4,12,6
537,2014,1,1,5,10,7
538,2014,0,0,6,8,7
539,2014,0,0,3,16,5
540,2014,0,1,3,14,5
541,2014,0,1,3,13,8
542,2014,0,1,3,7,7
544,2014,0,0,3,9,10
546,2014,1,1,6,13,4
548,2014,1,0,1,12,11
549,2014,0,1,5,12,5
550,2014,0,0,3,10,7
552,2014,0,0,5,13,5
553,2014,0,1,6,9,6
554,2014,0,2,6,11,5
556,2014,0,0,1,14,7
557,2014,0,0,5,9,7
558,2014,1,0,7,11,6
561,2014,1,1,2,14,4
562,2014,0,1,4,7,8
564,2014,0,0,7,8,7
565,2014,0,0,7,7,7
568,2014,0,1,2,8,10
570,2014,0,2,4,11,6
573,2014,1,0,4,13,7
575,2014,0,0,2,9,9
578,2014,1,1,0,12,11
580,2014,0,3,3,13,6
581,2014,1,1,3,8,11
583,2014,0,2,9,8,6
585,2014,0,0,3,9,8
586,2014,2,1,8,6,8
589,2014,0,1,6,10,5
590,2014,0,0,3,7,12
593,2014,0,2,5,11,5
595,2014,0,1,0,15,6
596,2014,0,1,8,8,7
598,2014,0,3,3,13,6
600,2014,1,0,2,13,9
603,2014,0,1,5,10,8
605,2014,1,3,7,9,5
607,2014,0,1,3,13,7
608,2014,0,0,5,7,2
612,2014,0,0,0,0,0
613,2014,0,0,3,13,6
614,2014,0,1,5,14,5
618,2014,0,2,3,12,6
619,2014,0,1,7,4,9
620,2014,0,1,2,9,2
621,2014,0,0,4,11,10
623,2014,0,0,6,10,6
626,2014,0,0,7,13,5
629,2014,0,0,4,7,3
630,2014,1,0,6,10,6
631,2014,0,0,3,9,2
632,2014,0,1,5,12,6
635,2014,1,1,7,12,4
636,2014,1,1,3,12,6
637,2014,0,2,5,11,6
640,2014,0,0,5,13,7
642,2014,0,1,7,11,4
644,2014,1,1,4,13,6
646,2014,2,1,1,14,7
648,2014,0,0,5,12,7
649,2014,0,2,6,7,5
650,2014,1,3,4,10,4
652,2014,0,1,5,14,5
653,2014,0,1,3,10,5
654,2014,1,1,4,6,12
655,2014,0,0,1,9,10
656,2014,0,0,1,8,5
657,2014,0,1,4,17,3
658,2014,0,0,4,13,6
659,2014,0,0,1,13,8
660,2014,0,0,5,13,6
662,2014,1,2,3,12,6
663,2014,0,1,7,10,7
664,2014,0,1,6,8,10
666,2014,1,0,6,6,6
667,2014,1,1,4,11,6
668,2014,0,1,3,9,9
671,2014,0,1,2,15,7
672,2014,1,1,3,13,7
673,2014,1,0,5,13,6
674,2014,1,1,3,14,5
675,2014,0,0,4,7,3
676,2014,1,0,1,10,8
678,2014,0,1,5,11,8
679,2014,0,1,2,8,3
687,2014,0,1,4,7,2
688,2014,1,2,2,14,6
689,2014,0,1,5,11,6
691,2014,0,1,4,13,7
692,2014,0,1,6,5,2
693,2014,0,2,3,8,10
695,2014,0,1,4,12,8
